#Ast,Name,MPC,1st,Nobs,HMag,G,Diam,e_Diam,pV,e_pV,eta,e_eta,pIR/pV,e_pIR/pV,W2amp,N1,N2
NEA    ,1580      ,01580  , 13, 29,14.90, 0.12,  7.91,  0.08, 0.03, 0.01, 1.40, 0.00, 2.31, 0.10, 0.07,  4,  4
NEA    ,1580      ,01580  , 13, 29,14.90, 0.12,  4.19,  0.06, 0.11, 0.02, 1.40, 0.00, 1.03, 0.10, 0.34,  7,  7
NEA    ,1580      ,01580  , 13, 29,14.90, 0.12,  5.37,  0.04, 0.07, 0.01, 1.40, 0.00, 1.61, 0.10, 0.58, 18, 18
NEA    ,1620      ,01620  , 15, 13,15.41, 0.24,  1.96,  0.06, 0.32, 0.04, 1.40, 0.00, 1.78, 0.10, 1.16, 13, 13
NEA    ,1685      ,01685  ,  0, 11,14.45, 0.24,  3.91,  0.08, 0.19, 0.02, 1.40, 0.00, 1.68, 0.10, 1.04, 10, 11
NEA    ,1980      ,01980  ,  0, 79,13.87, 0.24,  4.36,  0.10, 0.26, 0.03, 1.40, 0.00, 1.83, 0.10, 0.99, 18, 18
NEA    ,1980      ,01980  ,  0, 79,13.87, 0.24,  4.31,  0.18, 0.27, 0.05, 1.40, 0.00, 1.94, 0.10, 1.36, 31, 31
NEA    ,1980      ,01980  ,  0, 79,13.87, 0.24,  4.47,  0.14, 0.25, 0.06, 1.40, 0.00, 1.97, 0.10, 1.46, 27, 29
NEA    ,2062      ,02062  , 37,  6,17.30, 0.24,  0.73,  0.03, 0.39, 0.05, 1.40, 0.00, 1.46, 0.10, 0.25,  6,  6
NEA    ,2063      ,02063  ,  0,  5,17.37, 0.24,  1.03,  0.03, 0.19, 0.03, 1.40, 0.00, 0.93, 0.10, 0.24,  5,  5
NEA    ,3691      ,03691  ,  0, 21,14.98, 0.24,  2.08,  0.09, 0.42, 0.11, 1.40, 0.00, 1.19, 0.10, 0.73, 21, 21
NEA    ,4055      ,04055  ,  0,  7,14.99, 0.43,  3.21,  0.16, 0.17, 0.03, 1.40, 0.00, 1.70, 0.10, 0.91,  6,  7
NEA    ,4183      ,04183  , 32,  9,14.35, 0.24,  3.73,  0.15, 0.23, 0.04, 1.40, 0.00, 1.21, 0.10, 0.33,  9,  9
NEA    ,5646      ,05646  ,  0,166,15.45, 0.24,  2.45,  0.06, 0.19, 0.03, 1.40, 0.00, 1.32, 0.10, 0.36, 39, 39
NEA    ,5646      ,05646  ,  0,166,15.45, 0.24,  2.50,  0.05, 0.19, 0.03, 1.40, 0.00, 1.28, 0.10, 0.66, 74, 78
NEA    ,5646      ,05646  ,  0,166,15.45, 0.24,  2.51,  0.05, 0.18, 0.03, 1.40, 0.00, 1.41, 0.10, 0.35, 46, 47
NEA    ,5731      ,05731  ,  0,  8,15.53, 0.12,  6.51,  3.14, 0.03, 0.03, 1.00, 0.51, 1.60, 0.10, 0.33,  0,  8
NEA    ,5828      ,05828  ,  0,  6,16.30, 0.24,  1.43,  0.06, 0.26, 0.05, 1.40, 0.00, 1.29, 0.10, 0.38,  6,  6
