#Ast,Name,MPC,1st,Nobs,HMag,G,Diam,e_Diam,pV,e_pV,eta,e_eta,pIR/pV,e_pIR/pV,W2amp,N1,N2
NEA ,337248    ,X7248  ,  0, 13,20.00, 0.15,  0.85,  0.06, 0.02, 0.01, 1.40, 0.09, 4.79, 0.10, 1.01,  6,  6
NEA ,337248    ,X7248  ,  0, 13,20.00, 0.15,  0.61,  0.26, 0.05, 0.06, 1.40, 0.49, 1.60, 0.10, 0.34,  0,  7
NEA ,345646    ,Y5646  ,  0,  7,19.90, 0.15,  0.41,  0.01, 0.12, 0.02, 1.40, 0.00, 8.52, 0.10, 0.42,  6,  7
NEA ,355770    ,Z5770  ,  0, 57,18.40, 0.15,  1.20,  0.49, 0.05, 0.08, 1.40, 0.48, 1.60, 0.10, 1.68,  0, 57
NEA ,363027    ,a3027  ,  0, 12,19.50, 0.15,  0.58,  0.27, 0.08, 0.11, 1.40, 0.54, 1.60, 0.10, 0.30,  0,  4
NEA ,363027    ,a3027  ,  0, 12,19.50, 0.15,  0.69,  0.25, 0.06, 0.07, 1.40, 0.46, 1.60, 0.10, 0.19,  0,  6
NEA ,363505    ,a3505  , 13, 28,18.10, 0.15,  1.88,  0.01, 0.03, 0.00, 1.40, 0.00, 2.63, 0.10, 0.70, 26, 28
NEA ,373135    ,b3135  ,  0,  4,19.50, 0.15,  1.05,  0.36, 0.03, 0.01, 1.40, 0.38, 1.60, 0.10, 0.88,  0,  4
NEA ,381906    ,c1906  ,  0,  5,17.90, 0.15,  0.52,  0.10, 0.45, 0.27, 1.40, 0.39, 1.60, 0.10, 0.43,  0,  5
NEA ,385186    ,c5186  ,  0, 33,17.70, 0.15,  0.81,  0.02, 0.22, 0.03, 1.40, 0.00, 2.04, 0.10, 0.57,  9,  9
NEA ,385186    ,c5186  ,  0, 33,17.70, 0.15,  0.97,  0.29, 0.16, 0.15, 1.40, 0.41, 1.60, 0.10, 0.43,  0, 20
NEA ,401857    ,e1857  ,  0, 18,16.10, 0.15,  4.28,  0.04, 0.03, 0.01, 1.40, 0.00, 2.28, 0.10, 0.43,  6,  6
NEA ,401857    ,e1857  ,  0, 18,16.10, 0.15,  3.90,  1.87, 0.04, 0.07, 1.40, 0.47, 1.60, 0.10, 0.78,  0, 11
NEA ,401925    ,e1925  ,  0,  5,18.40, 0.15,  0.48,  0.10, 0.34, 0.19, 1.40, 0.37, 1.60, 0.10, 0.43,  0,  5
NEA ,413123    ,f3123  ,  0, 42,19.00, 0.15,  1.22,  0.50, 0.03, 0.05, 1.40, 0.45, 1.60, 0.10, 0.89,  0, 29
NEA ,413123    ,f3123  ,  0, 42,19.00, 0.15,  1.26,  0.52, 0.03, 0.08, 1.40, 0.46, 1.60, 0.10, 0.44,  0, 12
