#Ast,Name,MPC,1st,HMag,G
NEA ,        433,00433       ,  0,11.16,0.46
NEA ,       1036,01036       ,  0, 9.45,0.30
NEA ,       1221,01221       ,  0,17.7 ,0.15
NEA ,       1566,01566       ,  0,16.9 ,0.15
NEA ,       1580,01580       ,  0,14.8 ,0.15
NEA ,       1620,01620       ,  0,15.60,0.15
NEA ,       1627,01627       ,  0,13.2 ,0.60
NEA ,       1685,01685       ,  0,14.23,0.15
NEA ,       1862,01862       ,  0,16.25,0.09
NEA ,       1863,01863       ,  0,15.54,0.15
NEA ,       1865,01865       ,  0,16.84,0.15
NEA ,       1866,01866       ,  0,12.4 ,0.15
NEA ,       1915,01915       ,  0,18.97,0.10
NEA ,       1916,01916       ,  0,14.93,0.15
NEA ,       1917,01917       ,  0,13.9 ,0.15
NEA ,       1943,01943       ,  0,15.75,0.15
NEA ,       1980,01980       ,  0,13.92,0.15
NEA ,       2062,02062       ,  0,16.80,0.15
NEA ,       2063,02063       ,  0,17.3 ,0.15
NEA ,       2100,02100       ,  0,16.05,0.12
NEA ,       2101,02101       ,  0,18.8 ,0.15
NEA ,       2102,02102       ,  0,16.0 ,0.15
NEA ,       2201,02201       ,  0,15.25,0.15
NEA ,       2202,02202       ,  0,17.2 ,0.15
NEA ,       2212,02212       ,  0,13.87,0.15
NEA ,       2340,02340       ,  0,20.2 ,0.15
NEA ,       2608,02608       ,  0,17.52,0.15
NEA ,       3102,03102       ,  0,16.2 ,0.15
NEA ,       3103,03103       ,  0,15.38,0.15
NEA ,       3122,03122       ,  0,14.1 ,0.15
NEA ,       3199,03199       ,  0,14.84,0.15
NEA ,       3271,03271       ,  0,16.5 ,0.15
NEA ,       3352,03352       ,  0,15.8 ,0.15
NEA ,       3551,03551       ,  0,16.75,0.15
NEA ,       3552,03552       ,  0,12.9 ,0.15
NEA ,       3553,03553       ,  0,16.4 ,0.15
NEA ,       3554,03554       ,  0,15.82,0.15
NEA ,       3671,03671       ,  0,16.5 ,0.15
NEA ,       3691,03691       ,  0,14.7 ,0.15
NEA ,       3757,03757       ,  0,18.95,0.15
NEA ,       3838,03838       ,  0,15.6 ,0.15
NEA ,       3908,03908       ,  0,17.3 ,0.15
NEA ,       3988,03988       ,  0,17.9 ,0.15
NEA ,       4034,04034       ,  0,18.4 ,0.15
NEA ,       4055,04055       ,  0,14.8 ,0.15
NEA ,       4183,04183       ,  0,14.4 ,0.15
NEA ,       4257,04257       ,  0,15.9 ,0.15
NEA ,       4450,04450       ,  0,17.1 ,0.15
NEA ,       4487,04487       ,  0,17.4 ,0.15
NEA ,       4544,04544       ,  0,17.1 ,0.15
NEA ,       4596,04596       ,  0,16.4 ,0.15
NEA ,       4660,04660       ,  0,18.2 ,0.15
NEA ,       4769,04769       ,  0,16.9 ,0.15
NEA ,       4947,04947       ,  0,18.0 ,0.15
NEA ,       4953,04953       ,  0,14.1 ,0.15
NEA ,       4957,04957       ,  0,14.9 ,0.15
NEA ,       5011,05011       ,  0,16.4 ,0.15
NEA ,       5131,05131       ,  0,14.7 ,0.15
NEA ,       5143,05143       ,  0,14.0 ,0.15
NEA ,       5189,05189       ,  0,17.9 ,0.15
NEA ,       5324,05324       ,  0,15.5 ,0.15
NEA ,       5332,05332       ,  0,14.7 ,0.15
NEA ,       5496,05496       ,  0,16.0 ,0.15
NEA ,       5587,05587       ,  0,13.8 ,0.15
NEA ,       5590,05590       ,  0,19.7 ,0.15
NEA ,       5604,05604       ,  0,17.2 ,0.15
NEA ,       5620,05620       ,  0,17.0 ,0.15
NEA ,       5626,05626       ,  0,14.2 ,0.15
NEA ,       5645,05645       ,  0,17.1 ,0.15
NEA ,       5646,05646       ,  0,15.4 ,0.15
NEA ,       5653,05653       ,  0,16.2 ,0.15
NEA ,       5660,05660       ,  0,15.4 ,0.15
NEA ,       5693,05693       ,  0,16.7 ,0.15
NEA ,       5751,05751       ,  0,14.8 ,0.15
NEA ,       5786,05786       ,  0,17.1 ,0.15
NEA ,       5828,05828       ,  0,16.0 ,0.15
NEA ,       5863,05863       ,  0,15.8 ,0.15
NEA ,       5869,05869       ,  0,17.2 ,0.15
NEA ,       5879,05879       ,  0,17.4 ,0.15
NEA ,       6037,06037       ,  0,18.7 ,0.15
NEA ,       6047,06047       ,  0,17.8 ,0.15
NEA ,       6053,06053       ,  0,14.8 ,0.15
NEA ,       6063,06063       ,  0,15.9 ,0.15
NEA ,       6239,06239       ,  0,18.5 ,0.15
NEA ,       6455,06455       ,  0,13.9 ,0.15
NEA ,       6569,06569       ,  0,16.4 ,0.15
NEA ,       6611,06611       ,  0,16.9 ,0.15
NEA ,       7088,07088       ,  0,16.8 ,0.15
NEA ,       7236,07236       ,  0,18.3 ,0.15
NEA ,       7335,07335       ,  0,17.0 ,0.15
NEA ,       7358,07358       ,  0,14.7 ,0.15
NEA ,       7474,07474       ,  0,18.0 ,0.15
NEA ,       7480,07480       ,  0,17.0 ,0.15
NEA ,       7822,07822       ,  0,17.4 ,0.15
NEA ,       7888,07888       ,  0,15.1 ,0.15
NEA ,       7977,07977       ,  0,15.1 ,0.15
NEA ,       8013,08013       ,  0,17.0 ,0.15
