#Ast,Name,MPC,1st,HMag,G
NEA,2101,02101,0,18.8,0.15
NEA,2340,02340,0,20.2,0.15
NEA,3757,03757,0,18.95,0.15
NEA,4034,04034,0,18.4,0.15
NEA,4660,04660,0,18.2,0.15
NEA,4947,04947,0,18.0,0.15
NEA,5590,05590,0,19.7,0.15
NEA,6037,06037,0,18.7,0.15
NEA,6239,06239,0,18.5,0.15
NEA,7236,07236,0,18.3,0.15
NEA,7474,07474,0,18.0,0.15
NEA,8014,08014,0,18.7,0.15
NEA,10302,10302,0,19.3,0.15
NEA,11284,11284,0,18.2,0.15
NEA,11885,11885,0,18.5,0.15
NEA,14402,14402,0,18.6,0.15
NEA,14827,14827,0,18.3,0.15
NEA,15817,15817,0,18.5,0.15
NEA,23606,23606,0,18.2,0.15
NEA,25143,25143,0,19.2,0.15
NEA,26379,26379,0,18.0,0.15
NEA,26663,26663,0,18.1,0.15
NEA,31662,31662,0,19.4,0.15
NEA,39565,39565,0,18.4,0.15
NEA,52381,52381,0,20.0,0.15
NEA,53409,53409,0,18.7,0.15
NEA,53429,53429,0,18.9,0.15
NEA,54509,54509,0,22.7,0.15
NEA,54660,54660,0,18.0,0.15
NEA,55408,55408,0,18.6,0.15
NEA,65679,65679,0,19.4,0.15
NEA,65690,65690,0,19.1,0.15
NEA,65717,65717,0,20.8,0.15
NEA,65733,65733,0,18.4,0.15
NEA,66400,66400,0,19.3,0.15
NEA,66407,66407,0,18.9,0.15
NEA,67381,67381,0,19.8,0.15
NEA,68031,68031,0,18.1,0.15
NEA,68347,68347,0,19.9,0.15
NEA,68372,68372,0,18.8,0.15
NEA,85184,85184,0,18.4,0.15
NEA,85585,85585,0,21.6,0.15
NEA,85774,85774,0,19.2,0.15
NEA,85938,85938,0,18.6,0.15
NEA,85953,85953,0,18.1,0.15
NEA,85990,85990,0,20.2,0.15
NEA,87024,87024,0,18.7,0.15
NEA,87025,87025,0,18.1,0.15
NEA,88213,88213,0,19.4,0.15
NEA,90147,90147,0,18.3,0.15
NEA,90373,90373,0,18.6,0.15
NEA,90416,90416,0,18.7,0.15
NEA,96631,96631,0,18.1,0.15
NEA,97725,97725,0,18.7,0.15
NEA,99799,99799,0,18.3,0.15
NEA,99942,99942,0,19.2,0.15
NEA,101869,A1869,0,19.3,0.15
NEA,105141,A5141,0,18.9,0.15
NEA,136564,D6564,0,19.1,0.15
NEA,136582,D6582,0,20.0,0.15
NEA,136635,D6635,0,19.0,0.15
NEA,136793,D6793,0,18.4,0.15
NEA,136818,D6818,0,18.9,0.15
NEA,136897,D6897,0,18.5,0.15
NEA,137064,D7064,0,18.9,0.15
NEA,137099,D7099,0,18.2,0.15
NEA,137120,D7120,0,18.1,0.15
NEA,137125,D7125,0,18.6,0.15
NEA,137175,D7175,0,18.3,0.15
NEA,137671,D7671,0,18.6,0.15
NEA,137799,D7799,0,18.5,0.15
NEA,138258,D8258,0,19.1,0.15
NEA,138404,D8404,0,19.1,0.15
NEA,138727,D8727,0,19.0,0.15
NEA,138893,D8893,0,18.1,0.15
NEA,138911,D8911,0,19.2,0.15
NEA,138947,D8947,0,18.7,0.15
NEA,138971,D8971,0,18.4,0.15
NEA,139211,D9211,0,18.0,0.15
NEA,139622,D9622,0,18.4,0.15
NEA,140158,E0158,0,18.3,0.15
NEA,140928,E0928,0,18.2,0.15
NEA,141018,E1018,0,18.9,0.15
NEA,141078,E1078,0,18.9,0.15
NEA,141495,E1495,0,18.3,0.15
NEA,141498,E1498,0,18.3,0.15
NEA,141526,E1526,0,19.9,0.15
NEA,141614,E1614,0,19.4,0.15
NEA,142464,E2464,0,18.1,0.15
NEA,142561,E2561,0,18.1,0.15
NEA,144898,E4898,0,18.8,0.15
NEA,144900,E4900,0,18.3,0.15
NEA,152560,F2560,0,19.1,0.15
NEA,152561,F2561,0,19.0,0.15
NEA,152563,F2563,0,19.8,0.15
NEA,152637,F2637,0,18.0,0.15
NEA,152680,F2680,0,19.4,0.15
NEA,152685,F2685,0,19.2,0.15
NEA,152756,F2756,0,18.8,0.15
NEA,152770,F2770,0,18.4,0.15
NEA,152787,F2787,0,18.6,0.15
NEA,152828,F2828,0,21.2,0.15
NEA,152895,F2895,0,18.1,0.15
NEA,153219,F3219,0,18.4,0.15
NEA,153315,F3315,0,19.2,0.15
NEA,153792,F3792,0,18.2,0.15
NEA,153958,F3958,0,18.3,0.15
NEA,154019,F4019,0,22.0,0.15
NEA,154020,F4020,0,19.1,0.15
NEA,154268,F4268,0,18.0,0.15
NEA,154275,F4275,0,20.1,0.15
NEA,154300,F4300,0,19.3,0.15
NEA,154330,F4330,0,18.1,0.15
NEA,154652,F4652,0,18.8,0.15
NEA,154715,F4715,0,18.4,0.15
NEA,154988,F4988,0,18.4,0.15
NEA,154991,F4991,0,18.5,0.15
NEA,155336,F5336,0,18.3,0.15
NEA,159454,F9454,0,18.1,0.15
NEA,159467,F9467,0,18.2,0.15
NEA,159635,F9635,0,18.0,0.15
NEA,159677,F9677,0,19.4,0.15
NEA,162000,G2000,0,19.4,0.15
NEA,162004,G2004,0,18.2,0.15
NEA,162063,G2063,0,19.0,0.15
NEA,162080,G2080,0,19.9,0.15
NEA,162082,G2082,0,18.9,0.15
NEA,162117,G2117,0,19.1,0.15
NEA,162120,G2120,0,20.6,0.15
NEA,162142,G2142,0,18.8,0.15
NEA,162157,G2157,0,19.7,0.15
NEA,162162,G2162,0,19.9,0.15
NEA,162173,G2173,0,19.3,0.15
NEA,162181,G2181,0,18.2,0.15
NEA,162195,G2195,0,19.4,0.15
NEA,162196,G2196,0,18.7,0.15
NEA,162210,G2210,0,19.1,0.15
NEA,162215,G2215,0,19.0,0.15
NEA,162361,G2361,0,20.2,0.15
