# Asteroid,   HMag, Site, Hours Visible
162911      , 19.20, W86,   416
15817       , 18.50, V37,   422
458368      , 18.40, W86,   431
152770      , 18.40, W86,   453
162452      , 18.30, W86,   454
2002UA31    , 19.00, V37,   460
2009WO106   , 19.10, W86,   464
2001QD96    , 18.20, V37,   470
162117      , 19.10, W86,   476
137799      , 18.50, V37,   487
65679       , 19.40, W86,   494
138911      , 19.20, V37,   496
2014SZ303   , 18.10, W86,   502
2004BE68    , 18.40, W86,   507
438017      , 18.70, V37,   507
105141      , 18.90, W86,   512
2009QL8     , 19.50, W86,   515
142464      , 18.10, W86,   519
2009WO106   , 19.10, V37,   522
159467      , 18.20, V37,   525
15817       , 18.50, W86,   528
415715      , 18.20, V37,   531
138911      , 19.20, W86,   545
136818      , 18.90, V37,   574
65679       , 19.40, V37,   590
329520      , 19.80, V37,   595
142561      , 18.10, W86,   607
154268      , 18.00, W86,   622
2004BE68    , 18.40, V37,   625
2003WR21    , 19.60, W86,   659
136818      , 18.90, W86,   675
162472      , 19.10, V37,   681
203015      , 18.40, V37,   686
333478      , 18.20, W86,   689
2007AS12    , 19.10, W86,   722
141018      , 18.90, W86,   732
2009KN4     , 18.30, W86,   745
55408       , 18.60, V37,   752
96631       , 18.10, V37,   798
1999HY1     , 18.10, V37,   806
142561      , 18.10, V37,   822
159467      , 18.20, W86,   919
142464      , 18.10, V37,   934
137799      , 18.50, W86,   948
96631       , 18.10, W86,  1065
441825      , 18.50, V37,  1083
